lot,item_number,internal_id,current_bid,bid_count,photo_count,status,live_status,end_time,title
9907,1-9907,1808115,100,0,41,1,0,1791324000,"John Deere 544E Wheel Loader JRB 4-in-1 bucket, 101"", cab, 20.5-25 tires, 10245 hours showing, SN: D..."
9908,1-9908,1808116,100,0,44,1,0,1791324000,"Military M816 6X6 Wrecker 5-Ton, B-L-H Corp M543 Wrecker Body, rear winch, front winch, front and re..."
9909,1-9909,1808117,5,0,10,1,0,1791324000,"(1) John Deere 235 Disc, hydraulic wing fold, approx.16' Reminger 3-bar spike tooth drag, SN 013113A"
9910,1-9910,1808118,5,0,15,1,0,1791324000,"(1) John Deere 230 Disc, hydraulic wing fold, 18', 3 bar spike tooth drag, SN 021097"
9911,1-9911,1808119,5,0,15,1,0,1791324000,"(1) John Deere 8300 Grain Drill, 23 hole, was used in early August and cylinder went bad, sell with ..."
9915,1-9915,1808123,50,0,13,1,0,1791324000,"(1) Bradford Industries gravity wagon, model 220 deluxe, extendable tongue, bin extensions, SN 19219..."
9918,1-9918,1808126,5,0,14,1,0,1791325800,"(1) John Deere 920 moco disc mower conditioner, 9'9"" cutting width, rotary disc, impeller, 540 PTO, ..."
9921,1-9921,1808129,5,0,8,1,0,1791325800,"(1) John Deere 74 5-bar hay rake, SN E00074G102820"
9958,1-9958,1808177,100,0,41,1,0,1791329400,"John Deere Turbo 8820 Combine 4WD, 30.5L32 front tires, 16.9-26 rear tires, 3285 hours showing, SN 5..."
9959,1-9959,1808178,5,0,11,1,0,1791329400,"(1) John Deere 920 grain head, SN H00920E661671"
9960,1-9960,1808179,5,0,7,1,0,1791329400,"(1) John Deere 216 grain head, 16', SN NA"
9962,1-9962,1808180,100,0,14,1,0,1791329400,"John Deere 80 Tractor Diesel, wide front, newer front tires, 18.4-34 rear tires, PTO, (2) remotes, n..."
9964,1-9964,1738286,35,7,11,1,0,1790121600,"(1) Siebring Manufacturing Company Mist'r Drench, model MD83, S/N C993374, 3 gallons per minute, 120..."
9965,1-9965,1738287,15,3,8,1,0,1790121600,"(1) Dyna Fog Night Star pedestal fan, model 1901M, 115V, fan is in working condition, formulation co..."
9971,1-9971,1738293,206,23,7,1,0,1790121600,"(1) Dayton 150,000 to 300,000 BTU natural gas heating unit, unit is new old stock, never was used."
9975,1-9975,1738297,500,23,8,1,0,1790121600,"(1) Modine 400,000 BTU natural gas heating unit, in working condition."
9979,1-9979,1738301,1000,27,14,1,0,1790121600,"(1) 70' x 144' single gutter greenhouse, roof poly was replaced 1 year ago, manual crank up side wal..."
9980,1-9980,1738302,1000,17,9,1,0,1790121600,"(1) 16' x 96' greenhouse, 1 roll up side, plastic will need to be replaced, winning bidder responsib..."
9981,1-9981,1738303,1000,5,9,1,0,1790121600,"(1) 30' wide x 96' long greenhouse, manual aluminum roll up side, and 1 manual steel roll up side, w..."
9982,1-9982,1738304,960,9,10,1,0,1790121600,"(1) 30' wide x 96' long greenhouse, with 1 manual aluminum roll up side, and 1 manual steel roll up ..."
9983,1-9983,1738305,1000,5,21,1,0,1790121600,"(1) 100' wide x 132' long 4-gutter greenhouse, 2 manual aluminum roll up sides, (3) 32"" exhaust fans..."
9984,1-9984,1738306,1000,11,11,1,0,1790121600,"(1) 30' wide x 132' long greenhouse with a W Truss, manual steel roll up sides."
9985,1-9985,1738307,1000,7,8,1,0,1790121600,"(1) 30' wide x 106' long greenhouse, no end wall on north wall of greenhouse, manual steel roll up s..."
10000,1-10000,1761139,100,0,51,1,0,1791324000,"2006 Volvo VNM Day Cab tandem axle, Eaton Fuller 10-speed transmission, Volvo D12 diesel engine, 52,..."
10002,1-10002,1761141,100,0,46,1,0,1791324000,"2007 Volvo VNM Day Cab tandem axle, Eaton Fuller 10-speed transmission, Volvo D12, 365 HP diesel eng..."
10005,1-10005,1761144,100,0,70,1,0,1791324000,"2013 Volvo VNL Sleeper Semi Truck tandem axle, with bunk, Eaton Fuller 10-speed transmission, Volvo ..."
10006,1-10006,1761145,100,0,64,1,0,1791324000,"2013 Volvo VNL Semi Truck tandem axle, 50,000 lb. GVWR, 12,000 lb. front axle, 19,000 lb. rear axles..."
10007,1-10007,1761146,100,0,80,1,0,1791324000,"2009 Volvo VNL Sleeper Semi Truck tandem axle, Eaton Fuller 9-speed transmission, model RTOC16909A, ..."
10008,1-10008,1761147,100,0,85,1,0,1791324000,"2015 Volvo VNVNL Sleeper Semi Truck tandem axle, Eaton Fuller 10-speed transmission, Volvo D13, 475 ..."
10009,1-10009,1761148,100,0,76,1,0,1791324000,"2020 Volvo VNL Semi Truck tandem axle, Eaton FAOM15810C automatic transmission, Volvo X15, 400 HP di..."
10011,1-10011,1761150,100,0,71,1,0,1791324000,"2020 Volvo VNL Day Cab tandem axle semi tractor, Eaton Fuller FAOM-15810C automatic transmission, Vo..."
10013,1-10013,1761152,100,0,63,1,0,1791324000,"2021 Volvo VNL760 Sleeper Semi Truck tandem axle, Volvo ATO2612F, 12-speed automatic transmission, D..."
10016,1-10016,1761155,100,0,62,1,0,1791324000,"2020 International LT625 Day Cab tandem axle, Eaton-Fuller automatic transmission, Cummins X15 diese..."
10017,1-10017,1761156,100,0,65,1,0,1791324000,"2021 Volvo VNL760 Sleeper Semi Truck tandem axle, Eaton Fuller ATO2612F, 12-speed automatic transmis..."
10018,1-10018,1761157,100,0,49,1,0,1791324000,"2006 Volvo VNL Sleeper Semi Truck tandem axle, sleeper cab with bunk, Eaton Fuller 10-speed transmis..."
10019,1-10019,1761158,100,0,62,1,0,1791324000,"2009 Volvo VNL Sleeper Semi Truck tandem axle, Eaton Fuller, RTOC16909A, 9-speed transmission, Cummi..."
10020,1-10020,1761159,100,0,33,1,0,1791329400,"(1) 2011 New Holland L223, rubber tire skid steer, 716 hours showing, enclosed cab, A/C, heat, Siriu..."
10050,1-10050,1761119,100,0,43,1,0,1791325800,"2020 Hino 268A 24' Box Truck Allison automatic transmission, power windows/locks, CD player, Air rid..."
10051,1-10051,1761120,100,0,43,1,0,1791325800,"2007 International 4300SBA4X2 24' Box Truck Allison International DT466E transmission, 25,999 lb. GV..."
10052,1-10052,1761121,100,0,39,1,0,1791325800,"2014 Chevrolet 16' Box Truck Supreme 16' box body, automatic transmission, 6.0 liter gas engine, AM/..."
10053,1-10053,1761122,100,0,35,1,0,1791325800,"2020 Hino 195-20 12' Box Truck with lift gate, Seiki Toyota automatic transmission, Hino J05E-TP die..."
10054,1-10054,1761123,100,0,45,1,0,1791325800,"2008 Freightliner M2106 24' Box Truck Allison 2000 automatic transmission, Cummins ISB diesel motor,..."
10056,1-10056,1761125,100,0,47,1,0,1791325800,"2006 International 4300 SBA4X2 24' Box Truck Allison automatic transmission, International DT466E di..."
10058,1-10058,1761127,100,0,43,1,0,1791325800,"2006 International 4300 SBA4X2 24' Box Truck Allison automatic transmission, International DT466 E d..."
10059,1-10059,1761128,100,0,49,1,0,1791325800,"2016 Hino 268A 24' Box Truck Allison automatic transmission, Hino, model J05E-WU diesel engine, 24' ..."
10060,1-10060,1761129,100,0,46,1,0,1791325800,"2020 Hino 268A 24' Box Truck Allison automatic transmission, Hino, model J05E-TP diesel engine, rear..."
10061,1-10061,1761130,100,0,52,1,0,1791325800,"2012 International 4300 SBA4X2 24' Box Truck with lift gate, Allison automatic transmission, Max For..."
10063,1-10063,1761132,100,0,48,1,0,1791325800,"2018 International 4300 SBA4X2 24' Box Truck with lift gate, Allison automatic transmission, Cummins..."
10065,1-10065,1761134,100,0,47,1,0,1791325800,"2018 International 4300 SBA4X2 24' Box Truck with lift gate, Allison automatic transmission, Cummins..."
10068,1-10068,1761137,100,0,52,1,0,1791325800,"2017 International 4300 SBA4X2 24' Box Truck with lift gate, Allison automatic transmission, Cummins..."
10069,1-10069,1761138,100,0,44,1,0,1791325800,"2001 International 4900 4X2 24' Box Truck 15,778 hours, 6-speed transmission, DT466E diesel engine, ..."
13276,1-13276,1810605,100,0,18,1,0,1791325800,"Tandem Axle Dump Trailer 14' x approx. 84"" wide, rear swing doors, 23580R16 tires and rims, 2 5/16"" ..."
13277,1-13277,1810606,100,0,18,1,0,1791325800,"20' Enclosed Tandem Axle Trailer 2 5/16"" ball, manual landing gear, rear fold down door, side access..."
13278,1-13278,1810607,100,0,21,1,0,1791325800,"Ace Tandem Axle 20' Enclosed Trailer 2 5/16"" ball, manual landing gear, rear fold down door, side ac..."
13284,1-13284,1810613,100,0,14,1,0,1791327600,"(1) Bobcat MT55 tracked mini skid steer, 1633 hours showing (subject to change), S/N 538711747, Kubo..."
13286,1-13286,1810615,100,0,22,1,0,1791327600,"(1) Kubota tractor, 714 hours showing, rear wheel drive, Curtis cover (is ripped), includes Kubota B..."
13289,1-13289,1810618,5,0,8,1,0,1791327600,"(1) Scag V-ride, walk-behind mower, 52"" deck, 1874 hours showing, runs, but does not currently able ..."
13290,1-13290,1810619,5,0,14,1,0,1791327600,"(1) Scag V-ride, walk-behind mower, 52"" deck, 515 hours showing, Kawasaki FX730 V-23.5 HP gas engine..."
13301,1-13301,1810630,100,0,21,1,0,1791327600,"(1) 1953 Oliver 66 gas tractor, S/N 425505C660, 6-forward speeds, 2-reverse speeds, live PTO, Row-Cr..."
13312,1-13312,1810641,5,0,14,1,0,1791329400,"(1) ExMark Laser Z, model LZX993EBV606X1, zero turn mower, 56"" deck, E22-77 X Series, 1525 hours sho..."
13313,1-13313,1810642,50,0,11,1,0,1791329400,2018 PJ
13315,1-13315,1810644,5,0,8,1,0,1791329400,"(1) Cotech, model EXTDEC-6-10-A, telescopic/extendable snow plow attachment, 3 pt., range from 6' to..."
13321,1-13321,1810650,5,0,11,1,0,1791329400,"(1) ExMark Turf Tracer walk-behind gas mower, model TTS600GKA483E0, S/N 316622433, Kawasaki 600V gas..."
13322,1-13322,1810651,100,0,43,1,0,1791329400,"2008 Freightliner Business Class M2 (1) single axle dump truck, air brake, manual windows and locks,..."
13323,1-13323,1810652,100,0,30,1,0,1791329400,"2012 Chevrolet 2500 HD (1) 4-WD pickup truck, crew cab, 6.6 liter Duramax diesel with Allison transm..."
13326,1-13326,1810654,100,0,36,1,0,1791329400,"2008 Ford F150 Lariat (1) 4-WD pickup truck, automatic transmission, power windows, locks, and mirro..."
13327,1-13327,1810655,100,0,32,1,0,1791329400,"2011 Chevrolet 3500 HD (1) 4-WD standard cab, long bed pickup truck, automatic transmission, 6.0 gas..."
13328,1-13328,1810656,100,0,32,1,0,1791329400,"(1) Caterpillar 257D tracked hydraulic skid steer, S/N CAT0257DLEZW01984, enclosed cab, heat and A/C..."
13329,1-13329,1810657,100,0,28,1,0,1791329400,"(1) John Deere 317G rubber track hydraulic skid steer, PIN #1T0317GJJLJ373992, 15.5"" rubber track, e..."
13330,1-13330,1810658,100,0,29,1,0,1791329400,"(1) Cat 262D rubber tire, hydraulic skid steer, 2-speed, PIN #CAT0262DTDTB09592, enclosed cab with h..."
13331,1-13331,1810659,100,0,36,1,0,1791329400,"(1) Kubota, model R530, articulated frame loader, enclosed cab, heat and A/C, joystick controls, 337..."
13332,1-13332,1810660,100,0,11,1,0,1791329400,"(1) New Holland L225 rubber tire skid steer loader, S/N JAF0L225HEM478843, joystick controls, closed..."
13333,1-13333,1810661,5,0,11,1,0,1791329400,"(1) Cage Snow Plow System, patent #7,654,016, 151"" length, model KBSS12, S/N 131-2183."
13334,1-13334,1810662,100,0,24,1,0,1791329400,"(1) John Deere 6130M, 4-WD tractor, 1080 hours showing, enclosed cab, A/C and heat, 427/70R24 front ..."
17105,1-17105,1761068,100,0,43,1,0,1791327600,"2005 Wabash 53' Dry Van Trailer rear roll up door, air ride suspension, tandem axle. Unit 734."
17108,1-17108,1761071,100,0,36,1,0,1791327600,"2010 Great Dane 45' Dry Van Trailer tandem axle, rear roll up door, air suspension. Unit #745."
17111,1-17111,1761074,100,0,41,1,0,1791327600,"2008 Stoughton 53' Dry Van Trailer rear roll up door, air ride suspension, tandem axle, 70,000 lb. G..."
17112,1-17112,1761075,100,0,35,1,0,1791327600,"2015 Stoughton 53' Dry Van Trailer model ZGPVW-535T-S-C-AR, air ride suspension, tandem axle, 70,000..."
17116,1-17116,1761079,100,0,31,1,0,1791327600,"2015 Stoughton 53' Dry Van Trailer model ZGPVW-535T-S-C-AR, rear roll up door, rear tandem axle, 70,..."
17117,1-17117,1761080,100,0,32,1,0,1791327600,"2001 Utility 53' Dry Van Trailer air ride suspension, rear roll up door, tandem axle. Unit 741."
17120,1-17120,1761083,100,0,34,1,0,1791327600,"2005 Wabash 53' Dry Van Trailer air ride suspension, rear roll up door, 68,000 lb. GVWR. Unit 733."
18209,1-18209,1801615,5,0,10,1,0,1790719200,"(1) Jet, model JWP-15H, 15"" planer with 230V, single phase, 3 HP electric motor, S/N 010428, in work..."
18216,1-18216,1801622,5,0,12,1,0,1790719200,"(1) single axle spray trailer with a 3 HP Briggs &amp; Stratton, 4-cycle engine, in working conditio..."
18264,1-18264,1801670,5,0,15,1,0,1790721000,"(1) make and model unknown, bench top lathe with approx. 10"" swing, 30"" between centers, tool post, ..."
18328,1-18328,1705516,100,0,15,1,0,1790726400,"(1) Massey Ferguson 35 Deluxe wide front tractor, 3 pt., PTO, 4-cylinder gas engine, model Z134, 3-s..."
18329,1-18329,1705517,100,0,13,1,0,1790726400,"(1) Ford 4000 tractor, 2-WD, open station, 3 pt., 2075 hours showing, 540 PTO, 3-cylinder diesel eng..."
18357,1-18357,1705545,100,0,34,1,0,1790726400,"1994 Ford F250 XL Regular Cab Other Pickup Truck Service truck, 4-WD, 4-speed transmission with over..."
18358,1-18358,1705546,100,0,21,1,0,1790726400,"2013 Ram 2500 Regular Cab Plow Truck 4-WD, 5.7 liter Hemi engine, power windows, locks, and mirrors,..."
18359,1-18359,1705547,100,0,37,1,0,1790726400,"1995 White GMC Volvo Semi Truck manual transmission, cruise control, heated mirrors, manual windows,..."
18360,1-18360,1705548,100,0,37,1,0,1790726400,"1980 Ford F9000 Winch/Plow Truck under belly plow truck, 28,000 lb. GVWR, 5-speed manual high low PT..."
18361,1-18361,1705549,100,0,30,1,0,1790726400,"1988 Ford 8000 Semi Truck tandem axle, Road Ranger RTO-11613-14613, manual transmission, high low PT..."
18364,1-18364,1705551,100,0,35,1,0,1790726400,"1990 White GMC Tandem Axle Dump Truck 22,675 lb. GVWR, 5,442 lb. front axle, 8,617 lb. first and rea..."
18365,1-18365,1705552,100,0,39,1,0,1790726400,"1998 Kenworth T800 B Dump Truck 46,000 lb. GVWR, front axle 12,000 lb., first intermediate axle 17,0..."
18367,1-18367,1705554,100,0,22,1,0,1790726400,"1985 Dakota RC3017-C2 Trail EZE Equipment Trailer 69,870 lb. GVWR, approx. 260"" x 102"" wide wood and..."
18370,1-18370,1705557,100,0,22,1,0,1790726400,"Clark Forklift (1) Clark Yard Lift, model CFY150B, Type G, 15,000 lb. forklift, 4004 hours showing, ..."
18371,1-18371,1705558,5,0,26,1,0,1790726400,"(1) Terex, model 72-41AA, articulated frame wheel loader, S/N 52324, operating load of 9000 lbs., 31..."
18372,1-18372,1705559,5,0,28,1,0,1790726400,"(1) 1999 Fiat Allis, model FR180.2, articulated frame wheel loader, enclosed cab, 4998 hours showing..."
18373,1-18373,1705560,5,0,35,1,0,1790726400,"(1) Terex, model 80-C articulated frame wheel loader, S/N 72857, rated payload 16,500 lbs., enclosed..."
18374,1-18374,1705561,100,0,24,1,0,1790726400,"(1) 1990 Case 550 crawler dozer, 9688 hours showing, open station, ROPS canopy, 96"" 6-way blade, 16""..."
18375,1-18375,1705562,100,0,26,1,0,1790726400,"(1) 1996 Case 1150G crawler dozer, 690 hours showing, open station, ROPS canopy, 22"" single grouser ..."
18376,1-18376,1705563,100,0,29,1,0,1790726400,"(1) 1981 Case 1150C crawler dozer, 8921 hours showing, foot pedal/joystick controls, open station, R..."
18377,1-18377,1705564,100,0,30,1,0,1790726400,"(1) 1983 Case 1150C crawler dozer, 1399 hours showing, foot pedal/joystick controls, open station, R..."
18378,1-18378,1705565,100,0,30,1,0,1790726400,"(1) 1994 Case 1150E long track crawler dozer, 8449 hours showing, foot pedal and joystick controls, ..."
18379,1-18379,1705566,100,0,33,1,0,1790726400,"(1) 1982 Case 1450B crawler dozer, open station, ROPS canopy, 8309 hours showing, food pedal and joy..."
18380,1-18380,1705567,100,0,29,1,0,1790726400,"(1) 2013 John Deere 700K LGP dozer, enclosed cab, A/C and heat, joystick control, push button start,..."
18381,1-18381,1705568,100,0,32,1,0,1790726400,"(1) 2000 Hitachi EX200LC-5, hydraulic crawler excavator, 8084 hours showing, foot pedal/joystick con..."
18382,1-18382,1705569,100,0,30,1,0,1790726400,"Kobelco SK210-9 (1) 2013 Kobelco, model SK210-9, hydraulic excavator, 4068 hours showing, enclosed c..."
18383,1-18383,1705570,100,0,26,1,0,1790726400,"(1) 1976 John Deere 762 motor scraper, open station, ROPS canopy, 7900 hours showing, John Deere 190..."
18391,1-18391,1801791,5,0,23,1,0,1790724600,"(1) US General 56.5"" width x 24"" height x 22"" depth 8-drawer tool cabinet, with a US General 72"" wid..."
18472,1-18472,1801869,5,0,9,1,0,1790726400,"(1) Loftness, model 8425B, 84"" width x 84"" height dual blade, 3 pt. shaft driven snow blower with ad..."
18489,1-18489,1801887,100,0,14,1,0,1790726400,2013 Griffin Dump Trailer
18490,1-18490,1801888,100,0,19,1,0,1790726400,2009 X-cel 20' Gooseneck Trailer
18492,1-18492,1801890,5,0,10,1,0,1790726400,"(1) Land Pride, model RBT4096, 8', 3 pt., hydraulic operated rear grading/scraper blade, S/N 517795."
18493,1-18493,1801891,5,0,5,1,0,1790726400,"(1) Woods, model M5, 5' shaft driven, 3 pt., Dixie cutter, rotary cutter/brush hog, with rear tail w..."
18498,1-18498,1801896,100,0,25,1,0,1790726400,"(1) International, model 424, tractor, diesel engine, 3 pt. hydraulics, Kelly, model 600, hydraulic ..."
18499,1-18499,1801897,100,0,20,1,0,1790726400,"(1) Allis Chalmers, model B, tractor (mowing blade not included), 4-cylinder gas engine, manual tran..."
18500,1-18500,1801898,100,0,36,1,0,1790726400,"(1) Case International, model 585, tractor with Case D-206, 4-cylinder, liquid cooled diesel engine ..."
18501,1-18501,1801899,100,0,21,1,0,1790726400,"(1) International Harvester Farmall Cub tractor with 4-cylinder gas engine, manual transmission, cus..."
18502,1-18502,1801900,100,0,44,1,0,1790726400,2000 Sea Doo Bombardier Challenger 1800 18' Jet Boat
18503,1-18503,1801901,100,0,52,1,0,1790726400,"2007 Ford XLT Super Duty Pickup F-350 4-WD, diesel, 13,000 lb. GVWR, 6.0 liter, power stroke, turbo ..."
18614,1-18614,1723324,500,0,27,1,0,1790726400,Tel Smith Crusher Line
18615,1-18615,1722853,100,0,29,1,0,1790726400,Terex 72-61AA Articulated Loader
18616,1-18616,1723069,100,0,33,1,0,1790726400,1980 Northwest Engineering Model 6 Drag Line Crane
19094,1-19094,1717855,100,0,27,1,0,1790726400,1986 Case 580 Super E Construction King Backhoe Loader
